"distribution: [0,3,3,2,2,2,1,1,1,0,0,0]"
"words: 50"
"errors: 60"
"haskell demerits lower: 60"
"seeds: "
"Equal -3478648829764762645, 3814550273323748965"
"Equal -4952815974558465954, 826731495053355478"
"Equal -4207059449485122873, -1335397231967051897"
"Equal -4237122567340662493, 8845944388673828575"
"Equal -8131049705860862307, 4907749825142668283"
"Equal -5639498101208828764, -7946067963678585345"
"Equal -6688856084026676789, 7592908938435580779"
"Equal 8574506256235141953, -923000888091868538"
"Equal -6439899474944911275, 5834089646163213383"
"Equal 1649196036619691876, -4481363514562876243"
"Equal 3522961787337421940, 1155112335440182766"
"Equal -3938486445051662847, -1064117407064730968"
"Equal 76898244458034032, 5294533728878516828"
"Equal -2488103681943915792, -9151237805714286010"
"Equal 1815945657503184677, -6745636421179830317"
"Equal -8560918257488717212, -7306312556334541502"
"Equal -939556986573737064, 9112832895306657738"
"Equal -3486338826637912874, -1634676462726440465"
"Equal 7550457897612118957, -5601497504151284448"
"Equal 4759277609781663460, -9077585251771186515"
"Equal -8603850547298758998, -1671397836700677051"
"Equal -6744476785742367323, -2784144592326691729"
"Equal 7428623618669773677, -8353743572657692102"
"Equal -9208455625718917350, 1191717352096859630"
"Equal -6695829446465619551, 3320418227331004450"
"Equal 2391468692172439777, -9100363381255056913"
"Equal -6874743758263421582, -8272935142357606294"
"Equal 1417231987287300568, -7989921369956271736"
"Equal 2335297058354231258, 7896863701900043537"
"Equal 7731399702281507156, -5815192770597811208"
"Equal 6301245575041793323, -5087992619669300062"
"Equal 652219119340255442, -7875544396494127057"
"Equal -2997224100039871634, 2581130946036789853"
"Equal -1199392301624809181, 8087722313524837385"
"Equal -799207317834389451, -386286615362036268"
"Equal -5134862365244140417, -994838757378810238"
"Equal 4620385057032733332, -3783848502827965024"
"Equal -776106807602159007, -5187324631049492262"
"Equal -4453049932571365176, 1118484413240860129"
"Equal 7055051178668337783, -4459588612883564453"
"Equal -2196382524167501026, -6875488521558619628"
"Equal -6752918478289164989, 877554612295867221"
"Equal -7980345680053584169, 8923266499240523960"
"Equal -8585118686529360966, -7022001437639649024"
"Equal 8924310871765817537, 7459498909276210088"
"Equal -5718241154442605138, 9169299884385012076"
"Equal -2549679857688896268, -4591720863374156844"
"Equal -8550194592984639881, 7166859786875520246"
"Equal -8145927740312015041, -3870428553342472575"
"Equal -4236786407197256671, -9185139450058566408"
"Equal -4428579482915722276, -3681910837838310099"
"Equal 4638644444151431418, -3433189714484689632"
"Equal 3753905653842476056, 7243500823325098881"
"Equal 8965700472014554314, 5261076174163580953"
"Equal -1839730805627493598, -3982344138199774653"
"Equal -7465337905493348993, 7951554472958391047"
"Equal 1429114078187736415, 6448017917574404346"
"Equal -7073789517507944608, 5201885002050882548"
"Equal -1657844282369146265, -3213254064820325823"
"Equal 175915346930017272, -1255923169778925332"
"Equal 3333960532054744418, -5833033885017668872"
"Equal 8507097747542836162, 4617828925445538915"
"Equal -1269479898267334868, 8358754680267474612"
"Equal 8061761477385704126, 930788343284524331"
"Equal -4559997030526199951, 1951448421737035125"
"Equal 3423569334519624814, 7492852008781430564"
"Equal 1383868501251206684, -403746235926950888"
"Equal 2259246971322464920, 4326470923843094159"
"Equal -5526866112713975677, 6442435773619518218"
"Equal -5745759855208470099, -278848884095359220"
"Equal -3659251613243098508, 289629870222114349"
"Equal 2845149037114981566, -1188024437138614107"
"Equal 643578509061201389, 125028184653763549"
"Equal -1711063998981877350, -4834180006594913525"
"Equal 4595184168333478869, 490430972606190534"
"Equal 6519189459442288191, -8720820357505114889"
"Equal 8017780066702535868, -8573969706115268555"
"Equal 6951103918530175396, 7861765299168919128"
"Equal 1239236540218133870, -7962226343854031739"
"Equal 6160648291665378702, -3229784872787262153"
"Equal -3250299703346971874, 8463661603814163374"
"Equal -3577436821694147680, 151817632580756577"
"Equal -9106647089184090500, -2044617346677956057"
"Equal 8144329274927044458, 5679339267356874748"
"Equal -2206914397317828689, -4359141444398361277"
"Equal -1436981278795224941, 9125265606977074014"
"Equal 6851192081560126943, 1939111535019455493"
"Equal 8379232393868325021, -3657178767126443917"
"Equal 6438210049545838596, 2303828001836038898"
"Equal -7157995655465437519, -8766038856356319931"
"Equal -3126688316689526729, 2795264569204739706"
"Equal 6064641016794464337, 5841452732148791866"
"Equal 1242876378469041991, 4367515855658195724"
"Equal -627416034327709875, -909508343109247119"
"Equal -6286050936536478958, -6000721733589447550"
"Equal 3691466017799364633, 4278421741401880917"
"Equal 5610510896357975726, -4207655956818986321"
"Equal 7316455659344993225, -3421204257923960200"
"Equal 8508901044696216979, 8368345530758860798"
"Equal 8110478121672691364, 2076873578077322180"
"Equal 3376131850313033255, 7853108444349437413"
"Equal -4485039970273642174, 3065687139865577218"
"Equal 4826801056589123019, 3975459897679217055"
"Equal 153221477737742238, 2020083318551504484"
"Equal -7436950849593483232, -2381434053519952648"
"Equal -2647706906101853588, 4481197433764513059"
"Equal -9096331135885633291, -2692063126619884967"
"Equal -5276435290209166407, 6058192307472856396"
"Equal 4835891449004462985, 3938256095059229855"
"Equal -4363600461204527798, -448641619253986647"
"Equal 3416986241707191280, 5471026595132759593"
"Equal 4453376490785032848, 3831108254142893665"
"Equal 3000566256397654606, -4028368154872665687"
"Equal 8310299279343278941, -3009294032805141011"
"Equal -6021544388866868193, -3676163755521023542"
"Equal -8579612156123902041, -1583992887776102251"
"Equal 2353136353270271034, 2400660614577507322"
"Equal -2480085359928305001, -1626164619852225107"
"Equal 1124982806451103387, -8091638242099342015"
"Equal -892759943446910109, 3392864913159043531"
"Equal -7554419015702387301, 429860242637793294"
"Equal 2289038700661078477, -8023612646198976083"
"Equal 4676738615507988149, -5010790399614633043"
"Equal 9218940738983742295, -3286520026029490877"
"Equal 869058602333647232, -1710785137588311679"
"Equal 3944242515301970139, -873366938784081516"
"Equal 2044573845207359201, 2085371210140798234"
"Equal 2222621891908407447, -9002247096810949989"
"Equal -5184367846574821769, -8574323213245602896"
"Equal -2887607940754747985, -8414002320731279306"
"Equal 2406368093627963998, 7822336897086814726"
"Equal -1653995882784801235, 3967653391003175128"
"Equal -4605237870449101797, 7905809477601474770"
"Equal -3944979956641927507, 5846128665020089326"
"Equal -1641476586874206237, -5982699969897578659"
"Equal 5396799177707077779, 4881015826296398425"
"Equal 1162240143353027482, -2737334519483614041"
"Equal -8705300942165079174, 6433608115080800107"
"Equal 7436946487391836160, -3188238092511162514"
"Equal -3356233662702881610, 156228277240067880"
"Equal 4673643243422473666, -5926995096224727022"
"Equal 6463255383637212015, 7996341412912338494"
"Equal -5417182458882125687, 6340139316644585348"
"Equal 1799049732437563989, -8127927523906466687"
"Equal 4702905510502680435, 3980260881235613699"
"Equal -8054417151525796546, -3762165584601948757"
"Equal 7448082885396019432, 5848479601946498688"
"Equal 5687653659452016663, 1476416726030356953"
"Equal -9001428472614274752, 6222242546960151164"
"Equal 4193857839498279905, 3756033170841326122"
"Equal -6785513352054464221, 1128997329593876623"
"Equal -6234008746951065412, 4709773212474617760"
"Equal 1314403589599236009, 4937325111535278391"
"Equal -7633970441050653839, -7038554932536000647"
"Equal -8765681982223944087, 279363791880181162"
"Equal 5103531470647831623, 7674636202926335308"
"Equal -1981954472713617922, 4492294007146169807"
"Equal 3774045131018973238, -8866845415003537350"
"Equal 7992097309825826422, 6293524028423949567"
"Equal 6436585503243351296, -6617175823362808370"
"Equal -1195677616100958667, -362380579003788025"
"Equal -5056230588277420721, 639155529546956235"
"Equal 3803995097317647024, 8345410447734036669"
"Equal -3012942098674809673, -8069073206340674799"
"Equal 2931266060006428804, 6050094458105709048"
"Equal -5842405161951101673, 2109441186848675701"
"Equal -1382693915470948419, -1492975155168480532"
"Equal -5574388446806948910, 3045044240378105307"
"Equal -360245536697902633, -87262653697676612"
"Equal -8682777628089632072, 4756767060257216986"
"Equal -83021997880024166, -425536837903416"
"Equal -7456908976962814995, -3436685077975332540"
"Equal -8120806286427962762, -9129280275435022633"
"Equal -1127868027698773249, -6341922536447035415"
"Equal -7943248416806065767, -3613388860567585460"
